series,episode,baker,baker_last_name,signature_bake,show_stopper,technical,result,baker_age,baker_occupation,hometown
1,1,Annetha,Mills,Light Jamaican Black Cakewith Strawberries and Cream,"Red, White & Blue Chocolate Cake with Cigarellos, Fresh Fruit, and Cream",2,IN,30,Midwife,Essex
1,1,David,Chambers,Chocolate Orange Cake,"Black Forest Floor Gateauxwith Moulded Chocolate Leaves, Fallen Fruitand Chocolate Mushrooms Moulded from eggs",3,IN,31,Entrepreneur,Milton Keynes
1,1,Edd,Kimber,Caramel Cinnamon and Banana Cake,N/A,1,IN,24,Debt collector for Yorkshire Bank,Bradford
1,1,Jasminder,Randhawa,Fresh Mango and Passion Fruit Hummingbird Cake,N/A,NA,IN,45,Assistant Credit Control Manager,Birmingham
1,1,Jonathan,Shepherd,Carrot Cake with Lime and Cream Cheese Icing,Three Tiered White and Dark Chocolate with Almond and Cherry,9,IN,25,Research Analyst,St Albans
1,1,Lea,Harris,Cranberry and Pistachio Cakewith Orange Flower Water Icing,Raspberries and Cream filled Chocolatewith Chocolate-dipped Fresh Fruit,10,OUT,51,Retired,"Midlothian, Scotland"
1,1,Louise,Brimelow,Carrot and Orange Cake,"Never Fail Chocolate Sponge Cake,with Fresh Fruit, White & Chocolate Cigarello Border",NA,IN,44,Police Officer,Manchester
1,1,Mark,Whithers,Sticky Marmalade Tea Loaf,Heart-shaped Chocolate and Beetroot Cake with Store-Bought silver chocolate hearts and chocolate red and white roses.,NA,OUT,48,Bus Driver,South Wales
1,1,Miranda,Browne,"Triple Layered Brownie Meringue Cake
with Raspberry Cream",Three Tiered Chocolate Fudge Cake  with Handmade Chocolate Button Decorations,8,IN,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex"
1,1,Ruth,Clemens,Three Tiered Lemon Drizzle Cakewith Fresh Cream and freshly made Lemon Curd,Classic Chocolate Sponge wrapped in a Chocolate Collartopped with Handmade White and Dark Chocolate Truffles,NA,IN,31,Retail manager/Housewife,"Poynton, Cheshire"
1,2,Annetha,Mills,Rose Petal Shortbread,Pink Swirl Macarons / Eclairs,7,OUT,30,Midwife,Essex
1,2,David,Chambers,Cheddar Cheese and Fresh Rosemary Biscuits,Choux Pastry Swans  Chocolate Profiteroles,8,IN,31,Entrepreneur,Milton Keynes
1,2,Edd,Kimber,Oatmeal Raisin Cookie,Pink Macarons,6,IN,24,Debt collector for Yorkshire Bank,Bradford
1,2,Jasminder,Randhawa,Millionaires' Shortbread,Meringues with Chocolate and Space DustCoffee flavoured Eclairs,2,IN,45,Assistant Credit Control Manager,Birmingham
1,2,Jonathan,Shepherd,Honey and Candied Ginger Cookies,Meringues with Whiskey Cream,1,IN,25,Research Analyst,St Albans
1,2,Louise,Brimelow,Stained Glass Window Shortbread,"Strawberry, Mint, and Cream Meringues  Chocolate Eclairs / Orange, Yellow and Pink Macarons",4,OUT,44,Police Officer,Manchester
1,2,Miranda,Browne,Fresh Vanilla Biscuits with Royal Icing,Pistachio Macarons,3,IN,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex"
1,2,Ruth,Clemens,Peanut Shortbread withSalted Peanut Caramel,Almond Macaron with Violet ButtercreamRaspberries and Cream Eclairs,5,IN,31,Retail manager/Housewife,"Poynton, Cheshire"
1,3,David,Chambers,Chilli Bread,"Walnut and Seed Roll
Red Berry and Almond Bun",4,IN,31,Entrepreneur,Milton Keynes
1,3,Edd,Kimber,Olive Bread,Tomato and Mozzarella,1,IN,24,Debt collector for Yorkshire Bank,Bradford
1,3,Jasminder,Randhawa,Focaccia,"Mango and Sultana Buns
Pan au Chocolat with Mars Bars
Tutti Frutti Wheel with Jelly Tots",5,IN,45,Assistant Credit Control Manager,Birmingham
1,3,Jonathan,Shepherd,"Anchovy, Sweet Paprika and Oregano Bread","Sticky Lemon Honey Bun
Olive and Anchovy Roll
Sundried Tomatoes and Fresh Herbs Roll
Stilton, Walnut and Apple Roll
Cinnamon and Cardamom Chelsea Bun",6,OUT,25,Research Analyst,St Albans
